ID,Site group (Japanese),Site name (Japanese),Locality name (Japanese),Cultural layer,Site group,Site name ,Locality name,Adress (Japanese),North Latitude,East Longitude,Geodetic system,Altitude (Tokyo Peil),Knife shaped tool,Trapeze（Trapezoid）,Axe shaped tool,Tangged point on blade,Triangulared pointed tool,Lanceolate shaped point,Biface,Micro blade,Mikoshiba type axe shaped tool,Tangged point,End scraper/Scraper,Burin,Whetstone,Hammer stone,Anvil stone,Pebble tool,Others (Japanease),Earthenware from the Incipient Jomon,Lithic cluster,Pebble cluster,Charcoal fragment concentration,Other features,Remark,Citation,CitationID1,CitationID2,Citation ID3,Citation ID4,Citation ID5,CitationID6,Research type,Creation date,Created by,Update date,Updated by,Coordinate check
ID,遺跡群名,遺跡名,地点・地区名,文化層・石器文化,遺跡群名読み方,遺跡名読み方,地点・地区名読み方,所在地,緯度,経度,測地系,標高,ナイフ形石器,台形（様）石器,斧形石器,剥片尖頭器,角錐状石器・三稜尖頭器,槍先形尖頭器,両面調整石器,細石刃・細石核等,神子柴型石斧,有茎（舌）尖頭器,掻器・削器,彫器,砥石,叩石,台石,礫器,その他の石器,草創期土器,ブロック･ユニット,礫群・配石,炭化物集中,その他の遺構,特記事項,文献,文献ID1,文献ID2,文献ID3,文献ID4,文献ID5,文献ID6,調査歴,作成年月日,作成者,更新年月日,更新者,位置修正
330250,,姥ヶ逧遺跡,,,,Ubagasako,,津山市市場,35.1202,134.12475,世界,220,,,,,,,,,,,○,,,,,,,,,,,,,岡山県教育委員会2010,B330116,,,,,,発掘調査,20171115,小嶋善邦,,,
330251,,田益田中遺跡,,,,Tamasutanaka,,岡山市田益,34.708056,133.899444,世界,10,○,,,,,,,,,,,,,,,,,,,,,,,岡山県教育委員会1999,B330117,,,,,,発掘調査,20171115,小嶋善邦,,,
330252,,大河内遺跡,,,,Ookouchi,,勝田郡勝央町黒土,35.025278,134.135556,世界,90,,,,,,,,,○,○,○,,,,,,剥片/加工痕のある剥片/石鏃,,,,,,,岡山県教育委員会2008b,B330120,,,,,,発掘調査,20171115,小嶋善邦,,,
330253,,尾崎遺跡,,,,Osaki,,美作市古町,35.12174,134.33173,世界,240,,,,,,,,,○,,,,,,,,,,,,,,,岡山県教育委員会2008a,B330119,,,,,,発掘調査,20171115,小嶋善邦,,,
330254,,天神鼻遺跡,,,,Tenjinbana,,笠岡市真鍋島,34.358056,133.572778,世界,50,○,,,,,,,,,,,,,,,,剥片,,,,,,,笠岡市教育委員会1988a,B330121,,,,,,確認調査,20171115,小嶋善邦,,,
330255,,真鍋城跡,,,,Manabejou,,笠岡市真鍋島,34.35851,133.58267,世界,80,○,,,,,,,,,,,,,,,,,,,,,,,笠岡市教育委員会1988b,B330122,,,,,,採集資料,20171115,小嶋善邦,,,
330256,野原遺跡群,野原遺跡,早風B地点,,,Nobara,HayakazeB,新見市神郷高瀬字野原,35.096111,133.351944,世界,530,,,,,,,,,,,,,,,,,石刃,,,,,,,岡山県教育委員会2003ｊ,B330134,,,,,,採集資料,20171115,小嶋善邦,,,
330257,野原遺跡群,野原遺跡,早風D地点,,,Nobara,HayakazeD,新見市神郷高瀬字野原,35.093333,133.350556,世界,530,,,,,,,,,,,,,,,,,,,,,,,,岡山県教育委員会2003ｊ,B330134,,,,,,採集資料,20171115,小嶋善邦,,,
330258,,備前国分寺跡,,,,Bizenkokubunji,,赤磐市下市,34.738611,133.999722,世界,20,,,,,,,,,,○,,,,,,,,,,,,,,岡山県赤磐市教育委員会2009/和気郡史刊行会1981a/和気郡史刊行会1981b,B330136,B330104,B330105,,,,発掘調査,20171115,小嶋善邦,,,
330259,,用木山遺跡,,,,Yougiyama,,赤磐市山陽１丁目・３丁目,34.7475,134.007222,世界,50,,,,,,,,,,○,,,,,,,,,,,,,弥生時代に鑿状石器に転用,安川豊史1987,B330151,,,,,,発掘調査,20171125,小嶋善邦,,,
