ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
B300053,和歌山市史編纂委員会1991,和歌山市史編纂委員会,わかやまししへんさんいいんかい　　　,1991,,先土器時代の文化,和歌山市史第１巻,https://ci.nii.ac.jp/ncid/BN02617834
B300054,北村純治2012,北村純治,きたむらじゅんじ,2012,,和歌山県内で採集した旧石器新資料II,紀伊考古学研究15,https://ndlsearch.ndl.go.jp/books/R100000002-I000007851639-i4771259
B300055,北村純治2019,北村純治,きたむらじゅんじ,2019,,和歌山県内で採集した旧石器新資料III,紀伊考古学研究22,https://ndlsearch.ndl.go.jp/books/R100000002-I000007851639-i4771581
B300056,立岡和人2002,立岡和人,たておかかずと,2002,,和歌山県における縄文時代草創期・早期の石器集成について,縄文時代の石器－関西の縄文草創期・早期－,https://ci.nii.ac.jp/ncid/BA6075318X
B300057,塚田良道1984,塚田良道,つかだよしみち,1984,,和歌山県平池遺跡採集のナイフ形石器,旧石器考古学28,https://cir.nii.ac.jp/crid/1390573407642720000
B300058,中原正光2012,中原正光,なかはらまさみつ,2012,,和歌山県松瀬・高津尾両遺跡の下層石器群について,紀伊考古学研究15,https://ndlsearch.ndl.go.jp/books/R100000002-I000007851639-i4771259
B300059,中原正光2019,中原正光,なかはらまさみつ,2019,,和歌山県内の旧石器時代遺跡におけるAT降灰層準の探求,紀伊考古学研究22,https://ndlsearch.ndl.go.jp/books/R100000002-I000007851639-i4771581
B300060,中原正光2020,中原正光,なかはらまさみつ,2020,,尾ノ崎東部丘陵遺跡出土の旧石器,紀伊考古学研究23,https://ndlsearch.ndl.go.jp/books/R100000002-I000007851639-i4771626
B300061,中原正光2021,中原正光,なかはらまさみつ,2021,,紀伊地方に『瀬戸内技法』は存在するのか,紀伊考古学研究24,https://ndlsearch.ndl.go.jp/books/R100000002-I000007851639-i4771667
B300062,中原正光2022,中原正光,なかはらまさみつ,2022,,和歌山県多田大池遺跡採集のチャート製ナイフ形石器,紀伊考古学研究25,https://ndlsearch.ndl.go.jp/books/R100000002-I000007851639-i30541840
B300063,前田敬彦2011,前田敬彦,まえだたかひこ,2011,,和歌浦周辺の遺跡から見えてくるもの,和歌の浦?その原像を求めて（清文堂）,https://cir.nii.ac.jp/crid/1130282271097264896
B300064,和歌山県文化財研究会1984,和歌山県文化財研究会,わかやまけんぶんかざいけんきゅうかい,1984,,,鳴滝遺跡発掘調査報告書,https://sitereports.nabunken.go.jp/96277
B300065,和歌山市立博物館2010,和歌山市立博物館,わかやましりつはくぶつかん,2010,,,よみがえる和歌山の縄文世界 : 人・暮らし・祈り : 特別展（平成22年度夏季特別展図録）,https://cir.nii.ac.jp/crid/1130000795558304256
B300066,上岡良章2023,上岡良章,かみおかよしあき,2023,,古代からのメッセージ―畑芳養垣内出土の石器について―,由良町の文化財50,-
B300067,橘昌信・多田仁2013,橘昌信・多田仁,たちばなまさのぶ・ただじん,2013,,西南日本における船野系細石刃石器群の形成と展開,明治大学博物館研究報告18,https://cir.nii.ac.jp/crid/1520290883206614144
B300068,中原正光2023,中原正光,なかはらまさみつ,2023,,壁川崎遺跡の露頭断面採集資料―旧石器包含層の確認に向けて,紀伊考古学研究26,https://ndlsearch.ndl.go.jp/books/R100000002-I000007851639-i31698357
B300069,前田敬彦2020,前田敬彦,まえだたかひこ,2020,,氷河期にやってきた旧石器人,地方史研究の最前線；紀州・和歌山（清文堂),https://ci.nii.ac.jp/ncid/BC04795541
B300070,森川実2011,森川実,もりかわみのる,2011,,ＡＴ降灰以後における横剥ぎナイフ形石器の変遷,旧石器考古学74,https://cir.nii.ac.jp/crid/1390010457689131520
B300071,和歌山市文化スポーツ振興財団2018,和歌山市文化スポーツ振興財団,わかやましすぽーつしんこうざいだん,2018,,,和歌山市埋蔵文化財発掘調査年報（2015年度）,-
