ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
B380090,,多田仁,ただじん,1997,a,愛媛県伊予郡双海町東峰遺跡第２・４地点、高見Ⅰ遺跡,日本考古学年報（1995年度版）,
B380091,,多田仁,ただじん,1997,b,愛媛の有舌尖頭器,愛媛考古学14,
B380092,,多田仁,ただじん,1997,c,西四国における旧石器時代終末から縄文時代草創期の石器群,中・四国の縄文時代草創期の土器と石器　第８回中四国縄文研究会発表資料,
B380093,,多田仁,ただじん,1998,,愛媛県中駄場遺跡,第15回中・四国旧石器文化談話会発表資料,
B380094,,多田仁,ただじん,1999,a,,中駄場遺跡,
B380095,,多田仁,ただじん,1999,b,16.東峰遺跡第２・４地点,愛比売　平成７～10年度　年報,
B380096,,多田仁,ただじん,1999,c,17.高見Ⅰ遺跡,愛比売　平成７～10年度　年報,
B380097,,多田仁,ただじん,1999,d,60.中駄場遺跡,愛比売　平成７～10年度　年報,
B380098,,多田仁,ただじん,1999,e,近況報告　愛媛県,第16回中・四国旧石器文化談話会発表資料,
B380099,,多田仁,ただじん,2000,,四国地方中・西部における旧石器時代終末から縄文時代草創期の石斧,紀要愛媛　創刊号,https://sitereports.nabunken.go.jp/100307
B380100,,多田仁,ただじん,2001,,西四国の縄文時代遺跡─縄文時代草創期から早期の研究視点─,西四国の縄文文化,
B380101,,多田仁,ただじん,2002,,四国の尖頭器,四国とその周辺の考古学,
B380102,,多田仁,ただじん,2003,a,西南四国の尖頭器,紀要愛媛3,https://sitereports.nabunken.go.jp/100311
B380103,,多田仁,ただじん,2003,b,四国・瀬戸内地域の細石刃文化,シンポジウム　日本の細石刃文化Ⅰ─日本列島における細石刃文化─,
B380104,,多田仁,ただじん,2008,,四国地方中・西部における旧石器時代終末から縄文時代草創期の石斧２,紀要愛媛　第8号（（財）愛媛県埋蔵文化財調査センター）,https://sitereports.nabunken.go.jp/100316
B380105,,多田仁,ただじん,2008,,第9章　四国地方─旧石器時代終末から縄文時代草創期の石器生産を中心に─,縄文化の構造変動、佐藤宏之編、六一書房,
B380106,,多田仁・真鍋昭文,ただじん・まなべあきふみ,1991,b,宝ヶ口Ⅰ遺跡の発掘調査,第８回中・四国旧石器文化談話会発表資料,
B380107,,橘昌信,たちばなまさのぶ,1991,,,池の岡遺跡試掘調査報告書,https://sitereports.nabunken.go.jp/45290
B380108,,橘昌信,たちばなまさのぶ,1992,,,影平遺跡試掘調査報告書,https://sitereports.nabunken.go.jp/45291
B380109,,冨田尚夫,とみたなおお,2008,,伊予市東峰遺跡第4地点出土石器　四国最古の石器群,愛媛　歴史民俗101モノ語り（愛媛県歴史文化博物館監修・愛媛新聞社）,
B380110,,冨田尚夫,とみたなおお,2008,,内子町水戸森遺跡他出土石器　約2万年使われた赤い石,愛媛　歴史民俗102モノ語り（愛媛県歴史文化博物館監修・愛媛新聞社）,
B380111,,長井数秋,ながいかずあき,1979,,,城川の遺跡,
B380112,,長井数秋,ながいかずあき,1982,,第一章　文化のあけぼの,愛媛県史　原始・古代Ⅰ,
B380113,,長井数秋 ,ながいかずあき,1986,,一　先土器時代,愛媛県史　資料編　考古,
B380114,,長井数秋 ,ながいかずあき,1987,,西条市下島山遺跡出土のナイフ形石器,ふたな3,
B380115,,長井数秋 ,ながいかずあき,1988,,愛媛県における旧石器の発見と研究,第5回中・四国旧石器文化談話会発表資料,
B380116,,長井数秋,ながいかずあき,1993,,原始時代の伊豫市（一）,伊豫市の歴史文化,
B380117,,長井数秋,ながいかずあき,1995,,,内子町小田川流域の遺跡　内子町東部地区遺跡詳細分布調査報告書　第１集,
B380118,,長井数秋,ながいかずあき,1996,,,内子町中山川流域の遺跡　内子町中部地区遺跡詳細分布調査報告書　第２集,
B380119,,長井数秋,ながいかずあき,1997,,,内子町麓川流域の遺跡　内子町西部地区遺跡詳細分布調査報告書　第３集,
B380120,,長井数秋・西岡信次,ながいかずあき・にしおかしんじ,1993,,,内子町埋蔵文化財確認調査報告書（Ⅰ）　─松の木遺跡・石浦東遺跡・石浦経塚─,https://sitereports.nabunken.go.jp/45243
B380121,,長井数秋 ・村上一馬,ながいかずあき・むらかみかずま,1987,,愛媛県伯方島叶浦・国道出土の旧石器,ふたな3,
B380122,,長井謙治,ながいけんじ,2000,,愛媛県阿方大池遺跡採集の有舌尖頭器,旧石器考古学59,
B380123,,中山町誌編纂委員会,なかやまちょうしへんさんいいんかい,1996,,日本列島の誕生,中山町誌中山町,
B380124,,名本二六雄,なもとふむお,1988,,愛媛県島嶼部の考古学,遺跡31,
B380125,,西川真美,にしかわまみ,1999,,18.平山Ⅳ遺跡,愛比売　平成７～10年度　年報,
B380126,,西川真美,にしかわまみ,2006,,,高橋佐夜ノ谷II遺跡2次─一般県道今治丹原線道路改築事業に伴う埋蔵文化財調査報告書IV─,https://sitereports.nabunken.go.jp/24187
B380127,,西田栄,にしださかえ,1969,,愛媛県上黒岩遺跡第四次調査略報,伊予史談195,
B380128,,西田栄・小片保,にしださかえ・おがたたもつ,1963,,,上黒岩遺跡学術調査報告書,
B380129,,西田栄・長井数秋,にしださかえ・ながいかずあき,1979,,高地性集落遺跡分担研究報告ー愛媛県域の弥生系高地性集落の調査研究,高地性集落の研究（資料編）,
B380130,,橋本雄一,はしもとゆういち,1994,,,北久米浄蓮寺遺跡　第３次調査地,
B380131,,兵頭勲,ひょうどういさお,1998,,愛媛県近況報告,第15回中・四国旧石器文化談話会発表資料,
B380132,,兵頭勲,ひょうどういさお,1999,,展示資料紹介①,歴博だより20,
B380133,,兵頭勲,ひょうどういさお,2000,,しまなみの遺跡,文化愛媛45,
B380134,,兵頭勲,ひょうどういさお,2004,,有舌尖頭器,歴博だより39,
B380135,,兵頭勲,ひょうどういさお,2008,,久万高原町上黒岩岩陰遺跡出土石偶　女神石─線刻のある石偶─,愛媛　歴史民俗100モノ語り（愛媛県歴史文化博物館監修・愛媛新聞社）,
B380136,,兵頭勲,ひょうどういさお,2008,,久万高原町上黒岩岩陰遺跡出土隆起線文土器　愛媛県最古の土器,愛媛　歴史民俗100モノ語り（愛媛県歴史文化博物館監修・愛媛新聞社）,
B380137,,平松康毅,ひらまつ＊＊＊,1977,,愛媛県の遺跡と遺物（1）,考古学ジャーナル135,
